Product_ID,Product Type,Product Name,Interest Rate (%),Eligibility Criteria
42,Credit Card,Business,6.85,"Min Income: ₹753358, Min Credit Score: 705"
43,Credit Card,Mutual Funds,10.53,"Min Income: ₹556853, Min Credit Score: 604"
44,Investment,Gold Bonds,12.79,"Min Income: ₹237267, Min Credit Score: 712"
45,Loan,Fixed Deposits,5.48,"Min Income: ₹653977, Min Credit Score: 651"
46,Loan,Rewards,10.57,"Min Income: ₹467006, Min Credit Score: 750"
47,Investment,Cashback,12.1,"Min Income: ₹602455, Min Credit Score: 600"
48,Loan,Insurance,5.53,"Min Income: ₹906139, Min Credit Score: 690"
49,Loan,Education Loan,8.79,"Min Income: ₹876406, Min Credit Score: 610"
50,Credit Card,Personal Loan,11.41,"Min Income: ₹550763, Min Credit Score: 605"
51,Credit Card,Rewards,14.55,"Min Income: ₹626931, Min Credit Score: 665"
52,Credit Card,Premium,5.85,"Min Income: ₹228487, Min Credit Score: 684"
53,Credit Card,Gold Bonds,5.12,"Min Income: ₹336367, Min Credit Score: 728"
54,Loan,Gold Bonds,7.94,"Min Income: ₹692385, Min Credit Score: 706"
55,Credit Card,Personal Loan,5.1,"Min Income: ₹376830, Min Credit Score: 635"
56,Loan,Education Loan,8.85,"Min Income: ₹841783, Min Credit Score: 620"
57,Credit Card,Stocks,12.08,"Min Income: ₹470032, Min Credit Score: 636"
58,Credit Card,Travel,13.58,"Min Income: ₹323278, Min Credit Score: 713"
59,Loan,Auto Loan,12.51,"Min Income: ₹249803, Min Credit Score: 709"
60,Investment,Business Loan,8.7,"Min Income: ₹850049, Min Credit Score: 660"
61,Loan,Cashback,8.44,"Min Income: ₹663268, Min Credit Score: 671"
62,Credit Card,Personal Loan,10.44,"Min Income: ₹787594, Min Credit Score: 663"
63,Investment,Rewards,10.36,"Min Income: ₹234728, Min Credit Score: 695"
64,Loan,Personal Loan,10.8,"Min Income: ₹336721, Min Credit Score: 646"
65,Credit Card,Fixed Deposits,13.9,"Min Income: ₹679711, Min Credit Score: 619"
66,Loan,Business Loan,14.96,"Min Income: ₹442005, Min Credit Score: 673"
67,Loan,Fixed Deposits,13.12,"Min Income: ₹720079, Min Credit Score: 736"
68,Investment,Business,13.7,"Min Income: ₹982251, Min Credit Score: 645"
69,Credit Card,Education Loan,13.74,"Min Income: ₹669102, Min Credit Score: 658"
70,Credit Card,Stocks,6.25,"Min Income: ₹688832, Min Credit Score: 746"
71,Investment,Fixed Deposits,9.41,"Min Income: ₹542942, Min Credit Score: 631"
72,Investment,Personal Loan,14.86,"Min Income: ₹901064, Min Credit Score: 679"
73,Credit Card,Premium,8.08,"Min Income: ₹948100, Min Credit Score: 744"
74,Investment,Gold Bonds,10.36,"Min Income: ₹548047, Min Credit Score: 660"
75,Loan,Travel,12.93,"Min Income: ₹860558, Min Credit Score: 704"
76,Credit Card,Auto Loan,8.95,"Min Income: ₹680557, Min Credit Score: 716"
77,Credit Card,Mutual Funds,14.74,"Min Income: ₹511646, Min Credit Score: 649"
78,Credit Card,Auto Loan,13.91,"Min Income: ₹803069, Min Credit Score: 744"
79,Credit Card,Cashback,14.76,"Min Income: ₹766315, Min Credit Score: 670"
80,Credit Card,Business,11.01,"Min Income: ₹892789, Min Credit Score: 627"
81,Investment,Insurance,5.9,"Min Income: ₹724878, Min Credit Score: 689"
82,Loan,Business Loan,5.64,"Min Income: ₹487298, Min Credit Score: 652"
83,Loan,Travel,5.09,"Min Income: ₹489314, Min Credit Score: 604"
84,Credit Card,Business Loan,13.35,"Min Income: ₹684637, Min Credit Score: 671"
85,Investment,Premium,8.52,"Min Income: ₹884919, Min Credit Score: 709"
86,Credit Card,Personal Loan,9.71,"Min Income: ₹829917, Min Credit Score: 727"
87,Loan,Premium,11.35,"Min Income: ₹251221, Min Credit Score: 696"
88,Loan,Insurance,5.75,"Min Income: ₹598912, Min Credit Score: 694"
89,Loan,Stocks,6.82,"Min Income: ₹835042, Min Credit Score: 660"
90,Investment,Stocks,7.25,"Min Income: ₹935994, Min Credit Score: 617"
91,Credit Card,Fixed Deposits,6.23,"Min Income: ₹270174, Min Credit Score: 711"
92,Investment,Travel,8.17,"Min Income: ₹887478, Min Credit Score: 622"
93,Loan,Travel,14.69,"Min Income: ₹543293, Min Credit Score: 738"
94,Loan,Business,9.06,"Min Income: ₹846486, Min Credit Score: 735"
95,Loan,Rewards,7.54,"Min Income: ₹351757, Min Credit Score: 605"
96,Investment,Cashback,5.51,"Min Income: ₹559929, Min Credit Score: 623"
97,Investment,Mutual Funds,14.02,"Min Income: ₹853008, Min Credit Score: 671"
98,Loan,Rewards,6.84,"Min Income: ₹638575, Min Credit Score: 698"
99,Loan,Mutual Funds,9.46,"Min Income: ₹699603, Min Credit Score: 673"
100,Credit Card,Stocks,11.82,"Min Income: ₹900787, Min Credit Score: 749"
