User_ID,Age,Income (INR),Credit Score,Risk Appetite,Preferred Spending
173,30,4431797,512,High,Dining
174,49,4037478,632,Low,Travel
175,24,4224537,309,Low,Dining
176,68,2980877,657,High,Dining
177,39,2820390,502,High,Travel
178,45,3231863,357,High,Groceries
179,19,1350311,793,High,Dining
180,59,1795776,809,High,Shopping
181,62,2268535,522,High,Healthcare
182,23,3317173,668,Medium,Travel
183,45,3444811,717,High,Travel
184,45,3233932,846,Medium,Dining
185,61,821747,402,Low,Groceries
186,61,2695902,460,Low,Groceries
187,37,3044517,499,High,Healthcare
188,47,1481258,459,Low,Healthcare
189,28,4823190,435,High,Groceries
190,45,4623475,697,High,Entertainment
191,42,3719567,691,Medium,Groceries
192,56,4561862,405,Low,Groceries
193,50,1183061,882,High,Dining
194,18,496412,888,Low,Shopping
195,44,2771703,353,Medium,Healthcare
196,69,2585632,576,Low,Entertainment
197,30,3087225,410,Medium,Entertainment
198,58,3432860,523,Medium,Travel
199,20,2895563,374,Medium,Groceries
200,56,1698118,805,High,Groceries
201,23,2000831,313,High,Shopping
202,25,1794362,781,Low,Groceries
203,44,3940214,488,High,Healthcare
204,26,2268710,663,High,Entertainment
205,54,3846313,538,Low,Groceries
206,50,1207705,700,Medium,Shopping
207,68,2982540,603,Medium,Dining
208,59,516790,390,Low,Healthcare
209,61,2116195,691,High,Dining
210,41,3747480,483,Low,Travel
211,32,3987415,316,Low,Shopping
212,49,245712,311,High,Travel
213,49,2696641,465,Low,Travel
214,41,4728268,445,High,Entertainment
215,58,2422494,581,High,Travel
216,69,1864092,848,Low,Travel
217,66,4730801,881,Medium,Shopping
218,66,687707,468,High,Dining
219,69,292091,469,Medium,Groceries
220,29,1093150,645,High,Travel
221,56,735827,798,Medium,Entertainment
222,19,1132196,759,Low,Groceries
223,20,2249736,596,High,Entertainment
224,66,4140063,441,Low,Groceries
225,54,621743,352,Low,Travel
226,66,1763482,417,Low,Healthcare
227,34,1830872,664,High,Groceries
228,66,1725068,435,Low,Healthcare
229,19,4814228,713,Low,Dining
230,19,2364452,376,High,Groceries
231,45,4785711,856,Low,Shopping
232,40,4334777,317,High,Entertainment
233,54,3537013,702,Low,Dining
234,49,4174532,504,Medium,Dining
235,50,3444699,798,Low,Healthcare
236,18,3283562,623,Medium,Travel
237,36,2335896,894,High,Entertainment
238,19,4772530,861,Medium,Shopping
239,61,2616738,580,High,Shopping
240,43,2907430,465,Low,Healthcare
241,49,2156678,542,Medium,Healthcare
242,23,2532127,778,Low,Dining
243,49,2825090,463,Medium,Healthcare
244,21,2126252,623,High,Travel
245,28,2274278,867,High,Dining
246,34,2218852,850,High,Dining
247,55,2345265,507,High,Dining
248,41,4534165,614,Low,Shopping
249,22,1280701,603,Low,Entertainment
250,69,1478343,538,Low,Entertainment
251,51,3232115,523,Low,Shopping
252,23,890778,387,Low,Dining
253,39,4244064,836,High,Travel
254,28,378157,728,Low,Groceries
255,65,1953897,519,Low,Dining
256,33,2550959,574,Low,Healthcare
257,50,4028973,365,High,Entertainment
258,26,811709,891,High,Groceries
259,23,1429959,722,High,Shopping
260,33,3543867,554,High,Shopping
261,46,4156092,424,Low,Groceries
262,20,2842800,445,Low,Entertainment
263,37,1858332,684,Medium,Entertainment
264,53,4651441,746,Low,Healthcare
265,36,1549651,686,High,Shopping
266,43,971279,682,High,Shopping
267,20,4274999,576,Low,Dining
268,36,863431,681,Medium,Travel
269,37,777701,423,High,Healthcare
270,49,1788404,566,Medium,Dining
271,24,2005148,410,High,Travel
272,69,452515,680,High,Shopping
273,58,4092825,457,Low,Travel
274,50,3071083,847,High,Shopping
275,57,809723,898,Medium,Entertainment
276,56,4938379,417,Medium,Dining
277,35,483126,627,Low,Shopping
278,57,2844046,367,High,Travel
279,18,2176230,733,Medium,Dining
280,28,4349161,658,Low,Travel
281,45,3579595,742,Medium,Travel
282,42,3963302,463,Low,Groceries
283,67,1126097,660,Medium,Shopping
284,40,2183438,884,High,Shopping
285,48,583609,418,Medium,Travel
286,47,3305003,494,Medium,Entertainment
287,59,2063082,887,Low,Shopping
288,52,2710963,540,Low,Healthcare
289,24,1953313,808,Low,Entertainment
290,33,2586149,864,Medium,Entertainment
291,43,3681591,441,Low,Entertainment
292,65,2448885,330,High,Shopping
293,69,3003005,522,Low,Entertainment
294,66,1486353,565,Low,Entertainment
295,19,2464719,581,High,Dining
296,18,3245471,680,Low,Shopping
297,65,3244221,855,Low,Entertainment
298,29,4326553,361,Medium,Healthcare
299,22,3404181,820,Medium,Entertainment
300,54,1861342,370,Low,Travel
301,49,1019593,835,High,Shopping
302,26,3532791,439,Low,Dining
303,58,2673592,615,Low,Healthcare
304,52,3116933,639,Low,Groceries
305,36,1216783,889,Medium,Travel
306,65,4106997,827,High,Travel
307,33,3470421,840,High,Travel
308,20,2126663,715,High,Healthcare
309,37,985786,766,Medium,Shopping
310,41,2627667,674,Medium,Shopping
311,50,4240013,590,Low,Entertainment
312,41,763889,342,Medium,Entertainment
313,69,477834,352,Low,Shopping
314,28,4930654,531,Medium,Entertainment
315,66,4731834,511,Low,Shopping
316,25,4094325,307,Medium,Travel
317,53,1938667,782,High,Groceries
318,55,3487281,341,Low,Travel
319,57,3444998,632,Medium,Entertainment
320,37,4198585,532,Medium,Groceries
321,52,3016112,369,Low,Groceries
322,65,1932141,315,Medium,Shopping
323,42,4483191,368,High,Dining
324,52,1035544,352,Low,Healthcare
325,42,2439164,678,Low,Dining
326,46,486629,762,Low,Groceries
327,35,2537643,826,Low,Dining
328,63,1834461,362,Low,Entertainment
329,35,4206714,560,High,Groceries
330,19,2214601,799,Low,Travel
331,52,2016418,420,High,Entertainment
332,33,4147347,539,High,Travel
333,58,3087569,764,High,Entertainment
334,53,1946988,406,Low,Shopping
335,50,4544939,479,High,Entertainment
336,21,1220346,315,Low,Healthcare
337,50,2086522,654,High,Travel
338,31,3319331,608,Low,Entertainment
339,38,4203487,888,Medium,Healthcare
340,65,4647077,480,Medium,Shopping
341,37,1034938,473,High,Entertainment
342,25,1007400,653,Medium,Healthcare
343,24,4784125,653,High,Entertainment
344,20,3766881,518,High,Travel
345,34,4131792,614,High,Travel
346,50,4567207,733,Medium,Dining
347,65,3781877,581,High,Dining
348,29,4497255,558,Medium,Entertainment
349,68,3191890,858,Medium,Dining
350,39,4349570,304,Low,Entertainment
351,39,505745,873,Medium,Entertainment
352,63,1979892,895,Low,Healthcare
353,47,1408402,693,High,Travel
354,55,4743247,635,High,Shopping
355,55,4907527,362,Low,Groceries
356,62,4180527,343,High,Travel
357,68,1120243,452,Low,Dining
358,25,3621103,455,Low,Entertainment
359,44,3602410,777,High,Dining
360,44,2536038,574,Low,Healthcare
361,51,1390283,657,Low,Dining
362,38,621001,725,Low,Healthcare
363,47,4096134,831,High,Shopping
364,50,3035309,782,High,Entertainment
365,45,4078016,513,High,Dining
366,64,212336,378,High,Healthcare
367,50,1669204,438,High,Dining
368,22,3158963,397,Medium,Healthcare
369,65,3391319,497,Medium,Entertainment
370,36,2125656,455,Low,Entertainment
371,21,3179718,349,Medium,Travel
372,52,4822974,778,High,Healthcare
373,66,3968553,527,High,Groceries
374,34,489372,756,High,Shopping
375,61,214429,821,Low,Travel
376,45,1332870,448,Low,Shopping
377,47,4346118,357,Low,Travel
378,46,1074506,461,Low,Dining
379,63,3676808,776,Low,Healthcare
380,23,3557707,406,Low,Dining
381,52,1043810,726,Medium,Shopping
382,58,4431614,694,High,Entertainment
383,54,4594203,485,Medium,Shopping
384,41,4822776,857,Low,Travel
385,46,407500,745,High,Shopping
386,66,4494166,747,High,Healthcare
387,63,4762272,386,High,Shopping
388,48,1291014,548,Medium,Dining
389,52,4635786,739,High,Entertainment
390,50,3062750,556,Low,Healthcare
391,69,2261439,576,Low,Shopping
392,38,2778305,737,Medium,Groceries
393,49,2060966,815,Medium,Groceries
394,40,1455950,876,Low,Entertainment
395,50,4027233,501,Medium,Dining
396,20,4732070,874,High,Travel
397,35,1750531,479,Medium,Travel
398,42,3896458,624,High,Entertainment
399,59,4476252,774,High,Shopping
400,48,3633468,699,High,Healthcare
401,20,1815270,516,High,Entertainment
402,57,1289100,752,High,Travel
403,63,2407312,703,Low,Groceries
404,41,4875195,539,Low,Travel
405,67,768933,485,Low,Groceries
406,49,584903,347,High,Travel
407,64,4269604,685,Medium,Dining
408,39,981608,507,Medium,Entertainment
409,40,1366026,456,High,Healthcare
410,19,1968407,524,Medium,Entertainment
411,44,1740710,443,High,Shopping
412,59,3546386,718,Medium,Groceries
413,19,3623082,410,High,Travel
414,43,4312742,764,Medium,Shopping
415,34,1767043,431,Medium,Groceries
416,57,4494329,633,Low,Entertainment
417,50,1399728,374,Medium,Groceries
418,26,1743992,711,Medium,Dining
419,60,2481636,818,High,Travel
420,65,2159484,335,Medium,Entertainment
421,56,4584347,522,Medium,Shopping
422,46,3143430,829,Medium,Travel
423,59,3411208,540,Medium,Entertainment
424,43,967128,433,Medium,Travel
425,52,4709408,690,Low,Healthcare
426,67,2531774,401,Medium,Groceries
427,42,634368,797,High,Groceries
428,41,3766194,810,High,Healthcare
429,30,2120773,836,Medium,Healthcare
430,24,3034523,844,Medium,Travel
431,53,1367498,642,Medium,Groceries
432,62,716576,305,Low,Shopping
433,37,3991296,493,High,Dining
434,18,1688204,436,Low,Entertainment
435,25,3133811,772,Low,Healthcare
436,63,4033538,515,Medium,Shopping
437,33,2370856,648,Medium,Shopping
438,31,731149,482,High,Travel
439,29,438366,467,Medium,Healthcare
440,68,4718362,337,High,Shopping
441,40,1065718,770,Low,Dining
442,32,4607900,751,High,Shopping
443,45,268515,789,High,Dining
444,51,616740,441,High,Dining
445,19,2566361,402,Low,Dining
446,49,2093884,341,Low,Healthcare
447,40,1141208,446,Medium,Dining
448,39,4583233,365,Medium,Healthcare
449,68,3482422,492,High,Shopping
450,42,3167381,597,High,Dining
451,39,2538692,337,Low,Groceries
452,39,2260035,801,Low,Shopping
453,66,3314659,727,Low,Entertainment
454,69,1864005,651,High,Groceries
455,59,1607576,625,High,Groceries
456,23,4221926,337,Low,Travel
457,32,222995,396,High,Healthcare
458,60,1853005,407,Low,Travel
459,54,1912355,450,Medium,Healthcare
460,50,641168,373,Low,Travel
461,25,889197,356,High,Shopping
462,61,699471,634,High,Groceries
463,61,2613911,551,High,Shopping
464,22,4884162,553,High,Healthcare
465,56,3848984,684,Low,Groceries
466,21,210514,755,Low,Groceries
467,23,2344608,558,Medium,Healthcare
468,62,2304385,764,Low,Shopping
469,49,3411861,333,Medium,Groceries
470,69,3130299,794,Low,Entertainment
471,47,828373,625,Low,Shopping
472,64,833389,537,High,Shopping
473,52,1357260,840,Medium,Shopping
474,57,1575520,765,High,Groceries
475,69,3555000,603,High,Dining
476,33,3781311,416,Low,Travel
477,30,3983831,506,Low,Healthcare
478,67,4521906,780,Medium,Shopping
479,59,3996286,702,Medium,Groceries
480,47,2161328,886,Low,Healthcare
481,36,4289437,532,Medium,Dining
482,34,3769199,583,Low,Entertainment
483,36,3891198,779,Low,Dining
484,45,1550093,308,Low,Groceries
485,43,393691,678,Medium,Shopping
486,54,3784476,680,High,Dining
487,43,4675687,659,Medium,Dining
488,40,1390064,475,High,Dining
489,26,3165560,784,Medium,Entertainment
490,29,4942998,704,High,Groceries
491,18,3609747,332,High,Healthcare
492,18,2203146,764,Medium,Travel
493,64,2792440,456,Medium,Groceries
494,51,679969,864,High,Shopping
495,49,2691721,501,Low,Groceries
496,65,882346,474,High,Groceries
497,42,1204411,543,High,Entertainment
498,57,4595223,568,Low,Travel
499,62,3131659,745,High,Travel
500,18,399542,373,Low,Travel
501,33,1920342,395,Low,Healthcare
502,56,3683802,472,Medium,Groceries
503,22,2019833,705,High,Entertainment
504,39,2150500,454,High,Shopping
505,46,4284032,482,Low,Travel
506,20,1423045,622,High,Travel
507,29,3104936,588,Low,Groceries
508,43,2136983,557,High,Shopping
509,33,1604568,886,High,Entertainment
510,68,960956,473,Low,Travel
511,54,3754382,629,Low,Groceries
512,39,3888498,530,High,Dining
513,46,4557847,460,High,Entertainment
514,31,4765861,485,Low,Healthcare
515,45,699964,442,Medium,Entertainment
516,22,3197493,581,Medium,Groceries
517,64,999458,326,High,Travel
518,66,205435,545,High,Entertainment
519,47,339565,786,High,Shopping
520,63,3142905,501,Low,Dining
521,69,3628261,320,High,Shopping
522,22,4954417,890,High,Shopping
523,29,1527654,393,High,Shopping
524,33,2827014,307,Medium,Groceries
525,43,2339934,771,High,Groceries
526,43,647628,638,High,Entertainment
527,65,2767592,558,Low,Healthcare
528,38,3219065,354,Medium,Dining
529,56,4259319,847,Low,Entertainment
530,53,664535,305,High,Shopping
531,50,2848191,676,High,Entertainment
532,47,1548894,853,High,Travel
533,54,256572,349,High,Entertainment
534,40,3750985,411,High,Entertainment
535,27,2713595,445,Low,Shopping
536,22,2333221,529,High,Entertainment
537,53,937550,796,High,Dining
538,51,1998954,605,Medium,Shopping
539,69,2160350,841,Medium,Groceries
540,48,982533,760,High,Groceries
541,27,1129090,525,High,Entertainment
542,36,3002743,358,High,Entertainment
543,49,587902,375,High,Dining
544,18,2100302,727,High,Healthcare
545,22,884659,431,High,Shopping
546,62,639717,797,Low,Dining
547,21,912494,892,Low,Entertainment
548,33,3990918,604,Low,Entertainment
549,41,3367118,366,Medium,Entertainment
550,33,2441105,529,High,Entertainment
551,19,1520307,632,Medium,Travel
552,66,2522024,576,Medium,Entertainment
553,45,2764695,883,Medium,Entertainment
554,49,4875431,443,Low,Travel
555,44,1295589,550,High,Healthcare
556,37,1114217,379,High,Groceries
557,41,4064708,356,Medium,Entertainment
558,29,278113,665,Low,Entertainment
559,67,2121792,607,Medium,Dining
560,52,4562113,473,Medium,Shopping
561,50,1739219,761,High,Dining
562,50,4680572,895,Low,Entertainment
563,68,4202262,792,High,Healthcare
564,60,4789716,859,Medium,Dining
565,54,4193687,673,High,Healthcare
566,29,2689667,648,Medium,Healthcare
567,20,4490955,366,Low,Entertainment
568,18,1495125,629,High,Healthcare
569,50,285395,493,High,Dining
570,57,4760141,454,High,Travel
571,27,1333859,459,High,Shopping
572,60,1293060,565,High,Healthcare
573,61,2898954,467,Low,Entertainment
574,46,3435863,444,Low,Groceries
575,30,2595067,485,High,Healthcare
576,29,3851422,722,Medium,Dining
577,48,4583030,756,Medium,Healthcare
578,63,414223,644,High,Groceries
579,19,4369495,853,High,Travel
580,68,2812761,815,Low,Dining
581,67,2195457,403,Low,Dining
582,52,1213071,546,High,Entertainment
583,40,3475072,322,High,Dining
584,34,3488560,824,Medium,Groceries
585,43,1886090,443,Low,Dining
586,25,487906,492,High,Travel
587,46,3527786,764,Low,Shopping
588,43,3516900,674,High,Shopping
589,27,1384592,565,High,Healthcare
590,43,2345977,677,High,Shopping
591,51,2311029,849,High,Groceries
592,68,2426217,855,Medium,Shopping
593,58,832731,373,High,Groceries
594,24,561756,737,Medium,Groceries
595,21,2414826,525,Medium,Healthcare
596,67,3460802,607,High,Shopping
597,62,2221363,647,Low,Healthcare
598,28,717257,775,Low,Dining
599,46,4790778,614,High,Travel
600,53,1500457,824,High,Shopping
601,42,4425933,724,High,Dining
602,38,1681257,823,Low,Entertainment
603,53,2251933,861,Low,Dining
604,27,3099359,548,High,Healthcare
605,54,2986719,868,Low,Healthcare
606,26,3761497,481,Medium,Travel
607,41,462199,405,Low,Travel
608,52,3070524,490,Low,Travel
609,66,1337273,436,High,Travel
610,52,4067293,419,Medium,Healthcare
611,65,233734,371,High,Groceries
612,53,413299,430,Low,Healthcare
613,35,2971034,756,Medium,Groceries
614,66,342728,778,High,Healthcare
615,56,871253,351,Low,Entertainment
616,49,1753185,873,Medium,Healthcare
617,41,1206152,418,High,Travel
618,40,893812,563,Medium,Groceries
619,49,1917202,538,Low,Dining
620,54,3462331,650,High,Entertainment
621,29,4193767,554,Low,Dining
622,66,4025091,608,Medium,Entertainment
623,30,852168,794,Low,Dining
624,40,3889638,356,Medium,Travel
625,42,4686856,702,High,Dining
626,52,1395055,366,Low,Healthcare
627,58,1408957,345,High,Travel
628,47,1341766,668,High,Dining
629,34,976644,531,High,Travel
630,66,3563712,701,High,Healthcare
631,37,724658,860,Low,Travel
632,65,986918,322,Low,Dining
633,42,203196,873,High,Travel
634,39,1749648,566,High,Entertainment
635,30,3857919,417,Medium,Shopping
636,36,3878588,899,High,Dining
637,66,2803680,354,Medium,Healthcare
638,53,1670017,452,Medium,Groceries
639,29,2867293,538,High,Travel
640,58,2984787,564,Low,Entertainment
641,36,1058811,567,Medium,Travel
642,29,4264337,412,Low,Dining
643,26,2864649,465,High,Entertainment
644,24,3836119,307,High,Dining
645,45,3257143,516,High,Shopping
646,31,3756995,730,High,Healthcare
647,48,1867108,591,Medium,Entertainment
648,69,3053507,349,Medium,Entertainment
649,36,1981336,406,Low,Travel
650,64,824588,308,Low,Travel
651,33,2354327,755,Medium,Groceries
652,22,4270081,622,High,Entertainment
653,52,1350127,608,Low,Travel
654,29,2689913,444,Medium,Travel
655,42,4117000,711,Low,Shopping
656,69,2878306,413,Medium,Groceries
657,38,2414904,874,High,Travel
658,53,2550716,698,Medium,Travel
659,40,4687561,574,Low,Healthcare
660,33,2019456,423,Medium,Entertainment
661,56,1464008,385,Low,Travel
662,62,2968654,881,Low,Shopping
663,59,1582212,346,Low,Travel
664,56,1459112,500,High,Entertainment
665,31,4076345,575,High,Travel
666,48,3380863,848,Medium,Dining
667,22,2433414,429,Medium,Travel
668,52,1843063,747,Low,Groceries
669,40,204331,688,High,Entertainment
670,46,1765976,875,Medium,Entertainment
671,60,4176808,562,Medium,Dining
672,28,412854,577,High,Groceries
673,35,4944353,345,Low,Groceries
674,64,1753416,467,Medium,Entertainment
675,29,3156156,744,Low,Shopping
676,26,2481696,345,High,Travel
677,27,1333243,839,High,Groceries
678,61,204677,386,Medium,Travel
679,34,404580,684,Medium,Travel
680,55,330334,564,High,Shopping
681,24,4757885,321,Low,Shopping
682,63,2252109,749,Low,Groceries
683,30,2708963,531,High,Groceries
684,57,2081934,485,Medium,Entertainment
685,59,2896711,625,High,Dining
686,26,758745,482,Medium,Travel
687,67,766819,696,Low,Entertainment
688,44,3998043,780,Medium,Travel
689,19,394243,702,Low,Shopping
690,22,4651535,762,High,Shopping
691,46,3070741,716,Medium,Entertainment
692,54,817423,501,Low,Groceries
693,55,790642,364,Medium,Dining
694,36,837031,854,Low,Dining
695,25,3065893,316,Low,Shopping
696,65,2203369,482,High,Shopping
697,62,1450844,690,High,Dining
698,18,1116094,343,Medium,Dining
699,39,4489361,781,Low,Groceries
700,69,1286985,562,High,Dining
701,34,446889,473,Medium,Travel
702,24,1665088,740,High,Dining
703,42,4384251,865,Medium,Healthcare
704,62,3312252,519,High,Dining
705,21,4475542,857,High,Shopping
706,53,1943227,693,Low,Shopping
707,23,2571693,494,Low,Healthcare
708,48,4369647,708,High,Travel
709,36,786470,770,Low,Dining
710,61,4174409,646,High,Dining
711,56,3505141,761,Medium,Healthcare
712,44,377216,360,High,Groceries
713,27,4849292,465,High,Groceries
714,43,2376512,450,Medium,Travel
715,36,3883460,410,Medium,Dining
716,56,2736015,787,Low,Dining
717,20,323662,848,Medium,Dining
718,62,2018352,302,Low,Shopping
719,30,3444571,782,High,Entertainment
720,67,3094558,312,Medium,Groceries
721,45,836438,461,High,Entertainment
722,37,1680175,643,Low,Healthcare
723,45,2029484,748,Medium,Entertainment
724,25,1867690,631,Low,Shopping
725,58,4619425,563,Low,Shopping
726,56,2169036,382,Medium,Groceries
727,18,4111451,633,Medium,Dining
728,20,2946153,679,Low,Travel
729,30,1304188,518,Medium,Entertainment
730,45,3909726,753,Low,Healthcare
731,66,3983112,388,High,Groceries
732,42,2506569,632,High,Travel
733,50,411463,609,Medium,Groceries
734,55,1867788,719,Medium,Groceries
735,23,468602,653,High,Groceries
736,61,2594820,399,Low,Groceries
737,62,862213,444,Low,Dining
738,49,4936912,309,Low,Shopping
739,62,2391306,343,Medium,Entertainment
740,64,2873683,685,Low,Groceries
741,38,4046703,794,Medium,Travel
742,33,2707720,792,Medium,Entertainment
743,38,3942849,468,Medium,Travel
744,28,293476,830,High,Travel
745,54,314560,635,Low,Shopping
746,53,1549987,812,Medium,Shopping
747,52,3907957,429,Low,Travel
748,36,1069241,838,High,Dining
749,37,749656,813,Low,Shopping
750,35,3638856,549,High,Shopping
751,64,3780885,437,Medium,Dining
752,58,3603209,574,Medium,Groceries
753,66,2297953,763,High,Shopping
754,31,2927978,440,Medium,Entertainment
755,32,3195785,555,Low,Travel
756,48,4180125,755,Low,Travel
757,18,2026629,733,High,Dining
758,20,2595265,472,Low,Travel
759,33,291679,772,Medium,Healthcare
760,40,2978217,722,Medium,Travel
761,28,1539083,738,Medium,Dining
762,29,3224628,356,Low,Dining
763,27,3903367,797,Medium,Dining
764,49,4090702,468,Low,Entertainment
765,33,4188395,881,High,Healthcare
766,25,2574151,860,Medium,Shopping
767,55,377476,727,High,Groceries
768,29,1399217,718,Low,Travel
769,41,2875877,646,Low,Entertainment
770,45,2453962,816,High,Shopping
771,25,3149908,754,Medium,Dining
772,45,4213880,501,Medium,Shopping
773,53,2131441,478,Medium,Shopping
774,43,465033,356,High,Healthcare
775,25,4928161,800,Low,Dining
776,67,3552477,411,High,Entertainment
777,45,4124845,447,Low,Entertainment
778,45,1335730,677,Medium,Dining
779,54,1356649,647,Medium,Travel
780,58,3902085,657,Low,Entertainment
781,53,1042329,355,Medium,Entertainment
782,44,1393582,615,High,Travel
783,34,1088976,484,Low,Travel
784,26,1791570,353,Medium,Entertainment
785,50,374588,336,Medium,Entertainment
